coin,tf,family,name,params,is_sh,oos_sh,oos_ret,n_trades
AAVEUSDT,1d,carry,funding_price_div,"{""lb"": 500}",-0.8166509798791768,0.1205595390883917,-0.19341427111912834,86.5
AAVEUSDT,1d,ichimoku,cloud,"{""tenkan"": 9, ""kijun"": 26, ""senkou"": 52, ""disp"": 26}",-0.06918245232433351,0.6448856436004132,0.351186103709344,20.5
AAVEUSDT,1d,ichimoku,cloud_fast,"{""tenkan"": 7, ""kijun"": 14, ""senkou"": 28, ""disp"": 14}",-0.010618982850130016,-0.06301442436514332,-0.5254562383657779,45.5
AAVEUSDT,1d,ichimoku,cloud_slow,"{""tenkan"": 12, ""kijun"": 24, ""senkou"": 52, ""disp"": 24}",0.046309487236080984,0.4152319515129893,-0.024586849051849713,28.5
AAVEUSDT,1d,ichimoku,tk,"{""tenkan"": 9, ""kijun"": 26}",-0.4859143199234251,0.13115994919333024,-0.4161701868174933,26.5
AAVEUSDT,1d,ichimoku,combo,"{""tenkan"": 9, ""kijun"": 26, ""senkou"": 52, ""disp"": 26}",-0.6748877043624357,0.5184333251645992,0.18791348910320127,21.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 10, ""slow"": 50}",0.24766268643850026,-2.239946875804177,-0.6158901078593988,33.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 10, ""slow"": 100}",0.7239974614936538,-1.4854969773473958,-0.49583523968616383,21.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 10, ""slow"": 200}",-0.40731452332729795,-1.0777446314522805,-0.41546770839539304,9.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 20, ""slow"": 50}",0.3093688933350351,-1.5297131856867996,-0.5036824243940574,18.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 20, ""slow"": 100}",0.4093410323332248,-0.5604873053645539,-0.2953496586191361,11.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 20, ""slow"": 200}",-0.24448748118874294,-0.9072431477817932,-0.37851680750284555,7.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 50, ""slow"": 100}",0.4967140801187606,-0.3875002497072852,-0.2499436149152766,7.5
AAVEUSDT,4h,trend,ema_cross,"{""fast"": 50, ""slow"": 200}",0.3720564142174508,-0.7903614866905289,-0.35164939790457905,3.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 20, ""thr"": 0.0}",-1.9236983260016054,-2.6168685217598973,-0.6648602240089472,141.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 20, ""thr"": 0.001}",-2.2271738722542547,-2.7537164986177722,-0.6328777785400939,132.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 20, ""thr"": 0.005}",-0.6669968414081696,-0.5103868188734817,-0.11907486257592836,36.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 50, ""thr"": 0.0}",-0.22783095884949464,-2.4788082872896564,-0.6465294831187505,85.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 50, ""thr"": 0.001}",-0.9547528287088048,-1.427940767501252,-0.41249315247090146,73.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 50, ""thr"": 0.005}",-2.4548232631078584,-0.5698948452018524,-0.07179912997287252,7.0
AAVEUSDT,4h,trend,ema_slope,"{""span"": 100, ""thr"": 0.0}",-0.7561184289815116,-2.115349008573377,-0.5981595479833177,65.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 100, ""thr"": 0.001}",-0.5343814478241447,-2.57847455941703,-0.5335131763259402,59.5
AAVEUSDT,4h,trend,ema_slope,"{""span"": 100, ""thr"": 0.005}",-1.3771619301041937,-2.8530315017373282,-0.09345870853028815,4.0
AAVEUSDT,4h,trend,price_ema,"{""span"": 20, ""thr"": 0.0}",-1.9236983260016054,-2.6168685217598973,-0.6648602240089472,141.5
AAVEUSDT,4h,trend,price_ema,"{""span"": 20, ""thr"": 0.02}",-1.7228158459489349,-1.8233955088951155,-0.444197288044592,104.5
AAVEUSDT,4h,trend,price_ema,"{""span"": 20, ""thr"": 0.05}",-0.4474366417697817,0.267703902936699,0.012961884943038404,29.0
