dataset,family,name,params,bars,ppy,is_sharpe,oos_sharpe,oos_ret,oos_maxdd,oos_calmar,turnover,n_trades,total_cost,total_funding,is_ret
dex_1h_SOL,momentum,mom_ret,"{""lb"": 20, ""thr"": 0.05}",5002,8760,-4.197091292767982,-4.784812246657014,-0.24266939935113196,0.24393651897251467,-2.8853175108957867,76.0,38.0,0.11019999999999999,-0.000246960325,-0.38742270273592905
dex_1h_SOL,momentum,mom_ret,"{""lb"": 50, ""thr"": 0.0}",5002,8760,-2.1565358186167884,-0.004563108837052902,-0.04261403270462827,0.20322630527234237,-0.8541039969245141,217.0,108.5,0.31465,-0.0008726018875000001,-0.43769886065476615
dex_1h_SOL,momentum,mom_ret,"{""lb"": 50, ""thr"": 0.02}",5002,8760,-2.489137290496958,-0.8536836411021154,-0.12022980978269238,0.19725712392298034,-2.176006285223324,192.0,96.0,0.2784,-0.0008054272750000001,-0.41768403563804246
dex_1h_SOL,momentum,mom_ret,"{""lb"": 50, ""thr"": 0.05}",5002,8760,-1.7635890193592008,-0.9707113221898518,-0.10104874846392109,0.22125166744438532,-1.6845705406461493,114.0,57.0,0.16529999999999997,-0.000574844475,-0.2539355543265296
dex_1h_SOL,meanrev,rsi,"{""ob"": 65, ""os_"": 20}",5002,8760,-4.938800371021732,-3.9796864898878206,-0.24166300010327646,0.25600101213630805,-2.7425964743264593,250.0,125.0,0.3625,0.00043900827500000005,-0.46657409006592077
dex_1h_SOL,meanrev,rsi,"{""ob"": 65, ""os_"": 30}",5002,8760,-6.478143683702406,-4.7301209871778855,-0.3316284084421618,0.33916066909269854,-2.4431469418093545,310.0,155.0,0.4495,0.0005032631625,-0.6337768615420649
dex_1h_SOL,meanrev,rsi,"{""ob"": 65, ""os_"": 35}",5002,8760,-6.657805947366648,-3.216653340899832,-0.2671472077808481,0.2826004628388421,-2.6309615690431287,376.0,188.0,0.5452,0.0005206543000000001,-0.6699567076931463
dex_1h_SOL,meanrev,rsi,"{""ob"": 70, ""os_"": 20}",5002,8760,-3.7525852937511743,-3.6840958712096827,-0.18948640042009235,0.21129590413565544,-2.8461039767406286,188.0,94.0,0.27259999999999995,0.000353750525,-0.33596651587586357
dex_1h_SOL,meanrev,rsi,"{""ob"": 70, ""os_"": 30}",5002,8760,-5.588425211950039,-4.465338523180645,-0.2856417864296864,0.3147129063328873,-2.4487845644369703,248.0,124.0,0.3596,0.00041800541249999997,-0.5441083343192841
dex_1h_SOL,meanrev,rsi,"{""ob"": 70, ""os_"": 35}",5002,8760,-5.809082752710679,-2.7738988502932926,-0.21672402287554982,0.2684152763415253,-2.446861032342328,314.0,157.0,0.4552999999999999,0.00043539655000000003,-0.5891466964373653
